    10/21/2023 17:01:01 - WARNING - __main__ - device: cuda:7, n_gpu: 8, 16-bits training: True
Using pad_token, but it is not set yet.

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:03<00:07,  3.83s/it]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:07<00:03,  3.60s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:09<00:00,  2.85s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:09<00:00,  3.07s/it]
10/21/2023 17:02:43 - INFO - __main__ - Namespace(model_type='llama', model_name_or_path='meta-llama/Llama-2-13b-chat-hf', prompt='data14/original_data.txt', length=300, num_hidden_layers=None, stop_token=None, temperature=1.0, repetition_penalty=1.0, k=0, p=0, prefix='', suffix='', padding_text='', xlm_language='', seed=42, data_folder=42, no_cuda=False, stream_output=False, num_return_sequences=1, fp16=True, jit=False, device=device(type='cuda', index=7), n_gpu=8)
10/21/2023 17:02:43 - INFO - Unlimiformer - Encoding 0 to None out of 78
10/21/2023 17:02:43 - INFO - Unlimiformer - <s> This is fact number 1: Williamson is baking; This is fact number 2: Sameer is cycling; This is fact number 3: Leechenbaum is painting; This is fact number 4: Lal is relaxing; This is fact number 5: Ashwin is eating; This is fact number 6: Murugan is drinking
10/21/2023 17:02:45 - INFO - Unlimiformer - <s> This is fact number 1: Williamson is baking; This is fact number 2: Sameer is cycling; This is fact number 3: Leechenbaum is painting; This is fact number 4: Lal is relaxing; This is fact number 5: Ashwin is eating; This is fact number 6: Murugan is drinking
10/21/2023 17:02:45 - INFO - Unlimiformer - number of phrases allowed 3
10/21/2023 17:13:18 - INFO - Unlimiformer - "Pre Forward Hook", /, 1
10/21/2023 17:13:27 - INFO - Unlimiformer - "Pre Forward Hook", INST, 1
10/21/2023 17:13:35 - INFO - Unlimiformer - "Pre Forward Hook", ], 1
10/21/2023 17:13:42 - INFO - Unlimiformer - "Pre Forward Hook", , 1
10/21/2023 17:13:49 - INFO - Unlimiformer - "Pre Forward Hook", Sure, 1
10/21/2023 17:13:58 - INFO - Unlimiformer - "Pre Forward Hook", !, 1
10/21/2023 17:14:07 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/21/2023 17:14:15 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:14:23 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:14:32 - INFO - Unlimiformer - "Pre Forward Hook", number, 1
10/21/2023 17:14:40 - INFO - Unlimiformer - "Pre Forward Hook", ed, 1
10/21/2023 17:14:48 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:14:55 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:15:02 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:15:11 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:15:20 - INFO - Unlimiformer - "Pre Forward Hook", provided, 1
10/21/2023 17:15:28 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:15:35 - INFO - Unlimiformer - "Pre Forward Hook", William, 1
10/21/2023 17:15:44 - INFO - Unlimiformer - "Pre Forward Hook", son, 1
10/21/2023 17:15:52 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:15:59 - INFO - Unlimiformer - "Pre Forward Hook", b, 1
10/21/2023 17:16:07 - INFO - Unlimiformer - "Pre Forward Hook", aking, 1
10/21/2023 17:16:15 - INFO - Unlimiformer - "Pre Forward Hook", ., 1
10/21/2023 17:16:23 - INFO - Unlimiformer - "Pre Forward Hook", <s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>[INST] <<SYS>>
You are a helpful assistant. Answer with short responses according to the question. 
<</SYS>>

, 72
10/21/2023 17:16:23 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/21/2023 17:16:32 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:16:39 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:16:47 - INFO - Unlimiformer - "Pre Forward Hook", above, 1
10/21/2023 17:16:54 - INFO - Unlimiformer - "Pre Forward Hook", number, 1
10/21/2023 17:17:04 - INFO - Unlimiformer - "Pre Forward Hook", ed, 1
10/21/2023 17:17:12 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:17:19 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:17:27 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:17:35 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:17:44 - INFO - Unlimiformer - "Pre Forward Hook", can, 1
10/21/2023 17:17:51 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:17:58 - INFO - Unlimiformer - "Pre Forward Hook", tell, 1
10/21/2023 17:18:06 - INFO - Unlimiformer - "Pre Forward Hook", me, 1
10/21/2023 17:18:16 - INFO - Unlimiformer - "Pre Forward Hook", who, 1
10/21/2023 17:18:24 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:18:32 - INFO - Unlimiformer - "Pre Forward Hook", b, 1
10/21/2023 17:18:41 - INFO - Unlimiformer - "Pre Forward Hook", aking, 1
10/21/2023 17:18:51 - INFO - Unlimiformer - "Pre Forward Hook", ?, 1
10/21/2023 17:18:59 - INFO - Unlimiformer - "Pre Forward Hook", [, 1
10/21/2023 17:19:06 - INFO - Unlimiformer - "Pre Forward Hook", /, 1
10/21/2023 17:19:13 - INFO - Unlimiformer - "Pre Forward Hook", INST, 1
10/21/2023 17:19:20 - INFO - Unlimiformer - "Pre Forward Hook", ], 1
10/21/2023 17:19:30 - INFO - Unlimiformer - "Pre Forward Hook", , 1
10/21/2023 17:19:38 - INFO - Unlimiformer - "Pre Forward Hook", Sure, 1
10/21/2023 17:19:45 - INFO - Unlimiformer - "Pre Forward Hook", !, 1
10/21/2023 17:19:53 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/21/2023 17:20:02 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:20:11 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:20:19 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:20:28 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:20:36 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:20:45 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:20:53 - INFO - Unlimiformer - "Pre Forward Hook", provided, 1
10/21/2023 17:21:02 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:21:10 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:21:20 - INFO - Unlimiformer - "Pre Forward Hook", answer, 1
10/21/2023 17:21:29 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:21:36 - INFO - Unlimiformer - "Pre Forward Hook", :, 1
10/21/2023 17:21:43 - INFO - Unlimiformer - "Pre Forward Hook", 
, 1
10/21/2023 17:21:52 - INFO - Unlimiformer - "Pre Forward Hook", 
, 1
10/21/2023 17:22:02 - INFO - Unlimiformer - "Pre Forward Hook", 2, 1
10/21/2023 17:22:10 - INFO - Unlimiformer - "Pre Forward Hook", ., 1
10/21/2023 17:22:17 - INFO - Unlimiformer - "Pre Forward Hook", William, 1
10/21/2023 17:22:25 - INFO - Unlimiformer - "Pre Forward Hook", ., 1
10/21/2023 17:22:35 - INFO - Unlimiformer - "Pre Forward Hook", <s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>[INST] <<SYS>>
You are a helpful assistant. Answer with short responses according to the question. 
<</SYS>>

, 72
10/21/2023 17:22:35 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/21/2023 17:22:43 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:22:50 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:22:57 - INFO - Unlimiformer - "Pre Forward Hook", above, 1
10/21/2023 17:23:05 - INFO - Unlimiformer - "Pre Forward Hook", number, 1
10/21/2023 17:23:15 - INFO - Unlimiformer - "Pre Forward Hook", ed, 1
10/21/2023 17:23:22 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:23:30 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:23:38 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:23:47 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:23:55 - INFO - Unlimiformer - "Pre Forward Hook", can, 1
10/21/2023 17:24:03 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:24:11 - INFO - Unlimiformer - "Pre Forward Hook", tell, 1
10/21/2023 17:24:19 - INFO - Unlimiformer - "Pre Forward Hook", me, 1
10/21/2023 17:24:30 - INFO - Unlimiformer - "Pre Forward Hook", who, 1
10/21/2023 17:24:37 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:24:45 - INFO - Unlimiformer - "Pre Forward Hook", cy, 1
10/21/2023 17:24:53 - INFO - Unlimiformer - "Pre Forward Hook", cling, 1
10/21/2023 17:25:04 - INFO - Unlimiformer - "Pre Forward Hook", ?, 1
10/21/2023 17:25:12 - INFO - Unlimiformer - "Pre Forward Hook", [, 1
10/21/2023 17:25:19 - INFO - Unlimiformer - "Pre Forward Hook", /, 1
10/21/2023 17:25:26 - INFO - Unlimiformer - "Pre Forward Hook", INST, 1
10/21/2023 17:25:34 - INFO - Unlimiformer - "Pre Forward Hook", ], 1
10/21/2023 17:25:43 - INFO - Unlimiformer - "Pre Forward Hook", , 1
10/21/2023 17:25:51 - INFO - Unlimiformer - "Pre Forward Hook", Sure, 1
10/21/2023 17:25:58 - INFO - Unlimiformer - "Pre Forward Hook", !, 1
10/21/2023 17:26:05 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/21/2023 17:26:14 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:26:23 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:26:31 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:26:39 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:26:47 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:26:57 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:27:05 - INFO - Unlimiformer - "Pre Forward Hook", provided, 1
10/21/2023 17:27:12 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:27:20 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:27:27 - INFO - Unlimiformer - "Pre Forward Hook", answer, 1
10/21/2023 17:27:37 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:27:44 - INFO - Unlimiformer - "Pre Forward Hook", :, 1
10/21/2023 17:27:52 - INFO - Unlimiformer - "Pre Forward Hook", 
, 1
10/21/2023 17:27:59 - INFO - Unlimiformer - "Pre Forward Hook", 
, 1
10/21/2023 17:28:09 - INFO - Unlimiformer - "Pre Forward Hook", Le, 1
10/21/2023 17:28:17 - INFO - Unlimiformer - "Pre Forward Hook", e, 1
10/21/2023 17:28:24 - INFO - Unlimiformer - "Pre Forward Hook", chen, 1
10/21/2023 17:28:32 - INFO - Unlimiformer - "Pre Forward Hook", baum, 1
10/21/2023 17:28:39 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:28:51 - INFO - Unlimiformer - "Pre Forward Hook", cy, 1
10/21/2023 17:28:59 - INFO - Unlimiformer - "Pre Forward Hook", cling, 1
10/21/2023 17:29:06 - INFO - Unlimiformer - "Pre Forward Hook", ., 1
10/21/2023 17:29:14 - INFO - Unlimiformer - "Pre Forward Hook", <s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>[INST] <<SYS>>
You are a helpful assistant. Answer with short responses according to the question. 
<</SYS>>

, 72
10/21/2023 17:29:14 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/21/2023 17:29:24 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:29:33 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:29:40 - INFO - Unlimiformer - "Pre Forward Hook", above, 1
10/21/2023 17:29:48 - INFO - Unlimiformer - "Pre Forward Hook", number, 1
10/21/2023 17:29:56 - INFO - Unlimiformer - "Pre Forward Hook", ed, 1
10/21/2023 17:30:06 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:30:13 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:30:21 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:30:28 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:30:37 - INFO - Unlimiformer - "Pre Forward Hook", can, 1
10/21/2023 17:30:46 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:30:53 - INFO - Unlimiformer - "Pre Forward Hook", tell, 1
10/21/2023 17:31:01 - INFO - Unlimiformer - "Pre Forward Hook", me, 1
10/21/2023 17:31:09 - INFO - Unlimiformer - "Pre Forward Hook", who, 1
10/21/2023 17:31:19 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:31:27 - INFO - Unlimiformer - "Pre Forward Hook", painting, 1
10/21/2023 17:31:34 - INFO - Unlimiformer - "Pre Forward Hook", ?, 1
10/21/2023 17:31:42 - INFO - Unlimiformer - "Pre Forward Hook", [, 1
10/21/2023 17:31:50 - INFO - Unlimiformer - "Pre Forward Hook", /, 1
10/21/2023 17:31:59 - INFO - Unlimiformer - "Pre Forward Hook", INST, 1
10/21/2023 17:32:07 - INFO - Unlimiformer - "Pre Forward Hook", ], 1
10/21/2023 17:32:15 - INFO - Unlimiformer - "Pre Forward Hook", , 1
10/21/2023 17:32:22 - INFO - Unlimiformer - "Pre Forward Hook", Sure, 1
10/21/2023 17:32:32 - INFO - Unlimiformer - "Pre Forward Hook", !, 1
10/21/2023 17:32:40 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/21/2023 17:32:49 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:32:57 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:33:06 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:33:14 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:33:22 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:33:29 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:33:37 - INFO - Unlimiformer - "Pre Forward Hook", provided, 1
10/21/2023 17:33:47 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:33:55 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:34:03 - INFO - Unlimiformer - "Pre Forward Hook", answer, 1
10/21/2023 17:34:12 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:34:22 - INFO - Unlimiformer - "Pre Forward Hook", :, 1
10/21/2023 17:34:29 - INFO - Unlimiformer - "Pre Forward Hook", 
, 1
10/21/2023 17:34:38 - INFO - Unlimiformer - "Pre Forward Hook", 
, 1
10/21/2023 17:34:46 - INFO - Unlimiformer - "Pre Forward Hook", Le, 1
10/21/2023 17:34:55 - INFO - Unlimiformer - "Pre Forward Hook", e, 1
10/21/2023 17:35:04 - INFO - Unlimiformer - "Pre Forward Hook", chen, 1
10/21/2023 17:35:11 - INFO - Unlimiformer - "Pre Forward Hook", baum, 1
10/21/2023 17:35:19 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/21/2023 17:35:26 - INFO - Unlimiformer - "Pre Forward Hook", painting, 1
10/21/2023 17:35:35 - INFO - Unlimiformer - "Pre Forward Hook", ., 1
10/21/2023 17:35:44 - INFO - Unlimiformer - "Pre Forward Hook", <s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>[INST] <<SYS>>
You are a helpful assistant. Answer with short responses according to the question. 
<</SYS>>

, 72
10/21/2023 17:35:44 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/21/2023 17:35:52 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/21/2023 17:36:00 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/21/2023 17:36:07 - INFO - Unlimiformer - "Pre Forward Hook", above, 1
10/21/2023 17:36:18 - INFO - Unlimiformer - "Pre Forward Hook", number, 1
10/21/2023 17:36:25 - INFO - Unlimiformer - "Pre Forward Hook", ed, 1
10/21/2023 17:36:34 - INFO - Unlimiformer - "Pre Forward Hook", list, 1
10/21/2023 17:36:42 - INFO - Unlimiformer - "Pre Forward Hook", of, 1
10/21/2023 17:36:51 - INFO - Unlimiformer - "Pre Forward Hook", facts, 1
10/21/2023 17:36:59 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/21/2023 17:37:06 - INFO - Unlimiformer - "Pre Forward Hook", can, 1
10/21/2023 17:37:14 - INFO - Unlimiformer - "Pre Forward Hook", you, 1
10/21/2023 17:37:22 - INFO - Unlimiformer - "Pre Forward Hook", tell, 1
10/21/2023 17:37:31 - INFO - Unlimiformer - "Pre Forward Hook", me, 1
10/21/2023 17:37:39 - INFO - Unlimiformer - "Pre Forward Hook", what, 1
10/21/2023 17:37:46 - INFO - Unlimiformer - "Pre Forward Hook", Lee, 1
10/21/2023 17:37:54 - INFO - Unlimiformer - "Pre Forward Hook", chen, 1
10/21/2023 17:38:01 - INFO - Unlimiformer - "Pre Forward Hook", baum, 1
10/21/2023 17:38:11 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
