10/15/2023 11:26:13 - WARNING - __main__ - device: cuda:7, n_gpu: 8, 16-bits training: True
Using pad_token, but it is not set yet.
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:03<00:06,  3.21s/it]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:05<00:02,  2.83s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.00s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.27s/it]
10/15/2023 11:27:53 - INFO - __main__ - Namespace(model_type='llama', model_name_or_path='meta-llama/Llama-2-13b-chat-hf', prompt='data8/original_data.txt', length=300, num_hidden_layers=None, stop_token=None, temperature=1.0, repetition_penalty=1.0, k=0, p=0, prefix='', suffix='', padding_text='', xlm_language='', seed=42, data_folder=42, no_cuda=False, stream_output=False, num_return_sequences=1, fp16=True, jit=False, device=device(type='cuda', index=7), n_gpu=8)
10/15/2023 11:27:53 - INFO - Unlimiformer - Encoding 0 to 71 out of 210
10/15/2023 11:27:53 - INFO - Unlimiformer - {"3ac276c8-fcc7-4c16-986f-8d9901e19afe": "79913a81-40e6-4507-913b-2ecceb2f868c"},
10/15/2023 11:27:54 - INFO - Unlimiformer - {"3ac276c8-fcc7-4c16-986f-8d9901e19afe": "79913a81-40e6-4507-913b-2ecceb2f868c"},
10/15/2023 11:27:54 - INFO - Unlimiformer - Encoding 71 to 140 out of 210
10/15/2023 11:27:54 - INFO - Unlimiformer - {"A" : "B"}, {"7309f4db-9480-4dd3-b1e1-7a075f4c1158": "7543b708-2c55-4ae5-bc08-df0df392caf4"},
10/15/2023 11:34:54 - INFO - Unlimiformer - "Pre Forward Hook", !, 1
10/15/2023 11:35:01 - INFO - Unlimiformer - "Pre Forward Hook", Based, 1
10/15/2023 11:35:08 - INFO - Unlimiformer - "Pre Forward Hook", on, 1
10/15/2023 11:35:15 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/15/2023 11:35:21 - INFO - Unlimiformer - "Pre Forward Hook", information, 1
10/15/2023 11:35:28 - INFO - Unlimiformer - "Pre Forward Hook", provided, 1
10/15/2023 11:35:35 - INFO - Unlimiformer - "Pre Forward Hook", ,, 1
10/15/2023 11:35:42 - INFO - Unlimiformer - "Pre Forward Hook", the, 1
10/15/2023 11:35:50 - INFO - Unlimiformer - "Pre Forward Hook", value, 1
10/15/2023 11:35:56 - INFO - Unlimiformer - "Pre Forward Hook", corresponding, 1
10/15/2023 11:36:03 - INFO - Unlimiformer - "Pre Forward Hook", to, 1
10/15/2023 11:36:11 - INFO - Unlimiformer - "Pre Forward Hook", ", 1
10/15/2023 11:36:17 - INFO - Unlimiformer - "Pre Forward Hook", 7, 1
10/15/2023 11:36:23 - INFO - Unlimiformer - "Pre Forward Hook", 3, 1
10/15/2023 11:36:29 - INFO - Unlimiformer - "Pre Forward Hook", 0, 1
10/15/2023 11:36:34 - INFO - Unlimiformer - "Pre Forward Hook", 9, 1
10/15/2023 11:36:41 - INFO - Unlimiformer - "Pre Forward Hook", f, 1
10/15/2023 11:36:47 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:36:52 - INFO - Unlimiformer - "Pre Forward Hook", db, 1
10/15/2023 11:36:58 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:37:04 - INFO - Unlimiformer - "Pre Forward Hook", 9, 1
10/15/2023 11:37:10 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:37:16 - INFO - Unlimiformer - "Pre Forward Hook", 8, 1
10/15/2023 11:37:22 - INFO - Unlimiformer - "Pre Forward Hook", 0, 1
10/15/2023 11:37:28 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:37:34 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:37:40 - INFO - Unlimiformer - "Pre Forward Hook", dd, 1
10/15/2023 11:37:47 - INFO - Unlimiformer - "Pre Forward Hook", 3, 1
10/15/2023 11:37:54 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:38:01 - INFO - Unlimiformer - "Pre Forward Hook", b, 1
10/15/2023 11:38:08 - INFO - Unlimiformer - "Pre Forward Hook", 1, 1
10/15/2023 11:38:15 - INFO - Unlimiformer - "Pre Forward Hook", e, 1
10/15/2023 11:38:22 - INFO - Unlimiformer - "Pre Forward Hook", 1, 1
10/15/2023 11:38:29 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:38:36 - INFO - Unlimiformer - "Pre Forward Hook", 7, 1
10/15/2023 11:38:43 - INFO - Unlimiformer - "Pre Forward Hook", a, 1
10/15/2023 11:38:50 - INFO - Unlimiformer - "Pre Forward Hook", 0, 1
10/15/2023 11:38:58 - INFO - Unlimiformer - "Pre Forward Hook", 7, 1
10/15/2023 11:39:04 - INFO - Unlimiformer - "Pre Forward Hook", 5, 1
10/15/2023 11:39:12 - INFO - Unlimiformer - "Pre Forward Hook", f, 1
10/15/2023 11:39:19 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:39:26 - INFO - Unlimiformer - "Pre Forward Hook", c, 1
10/15/2023 11:39:33 - INFO - Unlimiformer - "Pre Forward Hook", 1, 1
10/15/2023 11:39:39 - INFO - Unlimiformer - "Pre Forward Hook", 1, 1
10/15/2023 11:39:47 - INFO - Unlimiformer - "Pre Forward Hook", 5, 1
10/15/2023 11:39:54 - INFO - Unlimiformer - "Pre Forward Hook", 8, 1
10/15/2023 11:40:00 - INFO - Unlimiformer - "Pre Forward Hook", ", 1
10/15/2023 11:40:08 - INFO - Unlimiformer - "Pre Forward Hook", is, 1
10/15/2023 11:40:15 - INFO - Unlimiformer - "Pre Forward Hook", ", 1
10/15/2023 11:40:22 - INFO - Unlimiformer - "Pre Forward Hook", 7, 1
10/15/2023 11:40:29 - INFO - Unlimiformer - "Pre Forward Hook", 5, 1
10/15/2023 11:40:35 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:40:40 - INFO - Unlimiformer - "Pre Forward Hook", 3, 1
10/15/2023 11:40:47 - INFO - Unlimiformer - "Pre Forward Hook", b, 1
10/15/2023 11:40:53 - INFO - Unlimiformer - "Pre Forward Hook", 7, 1
10/15/2023 11:40:58 - INFO - Unlimiformer - "Pre Forward Hook", 0, 1
10/15/2023 11:41:05 - INFO - Unlimiformer - "Pre Forward Hook", 8, 1
10/15/2023 11:41:11 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:41:17 - INFO - Unlimiformer - "Pre Forward Hook", 2, 1
10/15/2023 11:41:23 - INFO - Unlimiformer - "Pre Forward Hook", c, 1
10/15/2023 11:41:29 - INFO - Unlimiformer - "Pre Forward Hook", 5, 1
10/15/2023 11:41:35 - INFO - Unlimiformer - "Pre Forward Hook", 5, 1
10/15/2023 11:41:42 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:41:48 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:41:54 - INFO - Unlimiformer - "Pre Forward Hook", ae, 1
10/15/2023 11:42:01 - INFO - Unlimiformer - "Pre Forward Hook", 5, 1
10/15/2023 11:42:08 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:42:15 - INFO - Unlimiformer - "Pre Forward Hook", bc, 1
10/15/2023 11:42:22 - INFO - Unlimiformer - "Pre Forward Hook", 0, 1
10/15/2023 11:42:30 - INFO - Unlimiformer - "Pre Forward Hook", 8, 1
10/15/2023 11:42:36 - INFO - Unlimiformer - "Pre Forward Hook", -, 1
10/15/2023 11:42:42 - INFO - Unlimiformer - "Pre Forward Hook", df, 1
10/15/2023 11:42:50 - INFO - Unlimiformer - "Pre Forward Hook", 0, 1
10/15/2023 11:42:58 - INFO - Unlimiformer - "Pre Forward Hook", df, 1
10/15/2023 11:43:04 - INFO - Unlimiformer - "Pre Forward Hook", 3, 1
10/15/2023 11:43:10 - INFO - Unlimiformer - "Pre Forward Hook", 9, 1
10/15/2023 11:43:16 - INFO - Unlimiformer - "Pre Forward Hook", 2, 1
10/15/2023 11:43:23 - INFO - Unlimiformer - "Pre Forward Hook", ca, 1
10/15/2023 11:43:29 - INFO - Unlimiformer - "Pre Forward Hook", f, 1
10/15/2023 11:43:36 - INFO - Unlimiformer - "Pre Forward Hook", 4, 1
10/15/2023 11:43:43 - INFO - Unlimiformer - "Pre Forward Hook", "., 1
